start,end,duration,speaker,text,confidence,next_start,gap_to_next,char_len,speech_rate_char_per_sec,rms_mean,rms_std,zcr_mean,spectral_centroid_mean,f0_mean,f0_std,f0_min,f0_max,f0_range,beep_ratio,meeting_id,meeting_duration_sec,silence_ratio
0.27,15.52,15.25,SPEAKER_01,大体首相補佐官とか副長官みたいな人が事前の仕切りをするんですね,-0.1039707933630898,15.52,0.0,31,2.0327868852459017,0.0527718029916286,0.0390441007912159,0.1603456253275681,2066.883876945845,117.76115464156364,54.0919925002739,75.08503916798806,494.79205989776113,419.7070207297731,0.0,tv001,851.940125,0.1409255433297093
15.52,20.56,5.039999999999999,SPEAKER_01,ご承知のように大変民主党政権は若い人たちがそういう役になってますから,-0.1039707933630898,20.56,0.0,34,6.746031746031747,0.1052125468850135,0.0506907552480697,0.1611544452136075,2034.178492619567,125.1521786306842,29.529110769081825,75.07452723808505,185.47321471731252,110.39868747922746,0.0,tv001,851.940125,0.1409255433297093
20.56,26.54,5.98,SPEAKER_01,非常に優秀な人たちだとは思いますけれども,-0.1039707933630898,26.54,0.0,20,3.34448160535117,0.064266636967659,0.0455770902335643,0.143337963736631,1943.569737859605,132.73232880639907,42.33030135747299,75.71028635989624,384.11303866519046,308.4027523052942,0.0,tv001,851.940125,0.1409255433297093
26.54,33.89,7.350000000000001,SPEAKER_01,やっぱり視野はもちろんそれなりに広さもあるんだけど,-0.1039707933630898,33.89,0.0,25,3.4013605442176864,0.0596597231924533,0.0375703461468219,0.1193975033967391,1635.7627777631856,123.20783077660938,49.13370917198086,76.11828390530493,369.1935341818989,293.0752502765939,0.0,tv001,851.940125,0.1409255433297093
33.89,46.41,12.519999999999996,SPEAKER_01,あまり十分な奥行きというかためというかという感じがどうかなというのは正直なところありました,-0.1461382759244818,46.41,0.0,45,3.594249201277957,0.0567538365721702,0.0394044332206249,0.1355715381855867,1802.0808978176465,115.94574799437318,35.76049501331335,74.96217211030816,310.71162430364296,235.7494521933348,0.0,tv001,851.940125,0.1409255433297093
46.41,55.17,8.760000000000005,SPEAKER_01,ですから非常に皆さん独特の雰囲気なのかな,-0.1461382759244818,55.17,0.0,20,2.283105022831049,0.0532500222325325,0.0355758816003799,0.1566580890739051,2048.5772305141895,128.7609169965971,44.19547586614056,81.41806211019475,583.9322451327906,502.5141830225959,0.0,tv001,851.940125,0.1409255433297093
55.17,57.95,2.780000000000001,SPEAKER_01,イラカンという言葉があるけれども,-0.1461382759244818,57.95,0.0,16,5.755395683453235,0.0630842596292495,0.0427058972418308,0.1023426275143678,1551.835323369825,106.93463259671428,17.809591500735863,77.95370335994627,146.26383355602593,68.31013019607965,0.0,tv001,851.940125,0.1409255433297093
57.95,60.21,2.259999999999998,SPEAKER_01,とにかくよく起こるんだよね,-0.1461382759244818,60.21,0.0,13,5.752212389380536,0.0988511741161346,0.0597824715077877,0.1077932438380281,1635.929602790162,128.64135665868068,31.053544419027435,82.74331580265213,188.6927986272883,105.9494828246362,0.0,tv001,851.940125,0.1409255433297093
60.21,67.13,6.919999999999995,SPEAKER_01,私も6、7回どずかれましたけども,-0.1797438993173487,67.13,0.0,16,2.312138728323702,0.0631908103823661,0.0476834326982498,0.1288972494239631,1782.7395504186147,124.88779587501472,46.018076353359305,75.2396396837977,423.43366766795594,348.19402798415825,0.0,tv001,851.940125,0.1409255433297093
67.13,73.73,6.6000000000000085,SPEAKER_01,あれから比べて吉田君のどずきなんてかわいいもんだなって思いますけど,-0.1797438993173487,73.73,0.0,33,4.999999999999994,0.0675390437245369,0.0423418954014778,0.1197775135869565,1799.0803820199517,115.6518565781474,29.61782486667741,75.6696372632781,213.65576276120095,137.98612549792284,0.0,tv001,851.940125,0.1409255433297093
